Name,Economic Cost,CO2 Pollution,NOx Air Pollution,PM Air Pollution,SO2 Air Pollution,CNSP,EWOMP
0 Solar & 16 SOFC & 3 Diesel & 0 Battery,0.1823859649122807,0.8953098947368421,6.631578947368421e-05,1.1052631578947368e-05,2.526315789473684e-06,0.08333333333333333,-0.7300346938623591
0 Solar & 16 SOFC & 4 Diesel & 0 Battery,0.19333333333333333,0.9282944,8.400000000000001e-05,1.4e-05,3.2e-06,0.05555555555555555,-0.7304586767706668
0 Solar & 16 SOFC & 5 Diesel & 0 Battery,0.20323809523809525,0.9581375238095238,0.0001,1.6666666666666664e-05,3.809523809523809e-06,0.027777777777777776,-0.7307046490935691
1 Solar & 16 SOFC & 3 Diesel & 0 Battery,0.18324490429278043,0.8903114770636372,6.594555564060989e-05,1.0990925940101646e-05,2.5122116434518047e-06,0.08333333333333333,-0.7300517520082385
1 Solar & 16 SOFC & 4 Diesel & 0 Battery,0.19409147530822346,0.9233695870188363,8.355436088980204e-05,1.3925726814967006e-05,3.1830232719924584e-06,0.05555555555555555,-0.7304748841410328
0 Solar & 16 SOFC & 3 Diesel & 1 Battery,0.18410762594136137,0.8955062776924765,6.633033559991226e-05,1.105505593331871e-05,2.526869927615705e-06,0.08333333333333333,-0.7302382083937818
0 Solar & 16 SOFC & 4 Diesel & 1 Battery,0.1949716875409824,0.9284902779198254,8.401772470593956e-05,1.4002954117656592e-05,3.200675226892935e-06,0.05555555555555555,-0.7306018433511977
2 Solar & 15 SOFC & 5 Diesel & 1 Battery,0.2093284665643734,0.9574523000270612,0.00010391347219077662,1.73189120317961e-05,3.958608464410537e-06,0.05555555555555555,-0.7306334097984261
1 Solar & 15 SOFC & 5 Diesel & 2 Battery,0.21032746009815642,0.9629143989579076,0.00010450628048560002,1.7417713414266667e-05,3.981191637546667e-06,0.027777777777777776,-0.7307171821621835
0 Solar & 15 SOFC & 5 Diesel & 3 Battery,0.21146984563953308,0.9690437276820956,0.0001051715040480804,1.75285840080134e-05,4.006533487545919e-06,0.0,-0.7307380679247333
0 Solar & 14 SOFC & 4 Diesel & 6 Battery,0.21019528927558379,0.9476687370118113,9.352734686580229e-05,1.558789114430038e-05,3.562946547268658e-06,0.08333333333333333,-0.7306699177461622
