Name,Economic Cost,CO2 Pollution,NOx Air Pollution,PM Air Pollution,SO2 Air Pollution,CNSP,EWOMP
0 Solar & 16 SOFC & 2 Diesel & 0 Battery,0.17022222222222222,0.8586604444444444,4.666666666666667e-05,7.777777777777777e-06,1.7777777777777777e-06,0.08333333333333333,-0.7303218503128688
0 Solar & 16 SOFC & 3 Diesel & 0 Battery,0.1823859649122807,0.8953098947368421,6.631578947368421e-05,1.1052631578947368e-05,2.526315789473684e-06,0.027777777777777776,-0.7305918514179186
1 Solar & 16 SOFC & 2 Diesel & 0 Battery,0.17127304605102503,0.8539647997279942,4.641146673497603e-05,7.735244455829338e-06,1.7680558756181343e-06,0.08333333333333333,-0.7303559652576272
1 Solar & 16 SOFC & 3 Diesel & 0 Battery,0.18331873337676702,0.8906701821587015,6.597212500134995e-05,1.0995354166891658e-05,2.513223809575236e-06,0.027777777777777776,-0.7305921588077616
0 Solar & 16 SOFC & 2 Diesel & 1 Battery,0.17204740604235202,0.8589125180372187,4.668036641772144e-05,7.780061069620239e-06,1.7782996730560547e-06,0.027777777777777776,-0.7305135287551201
0 Solar & 16 SOFC & 3 Diesel & 1 Battery,0.1840672514619883,0.8953098947368421,6.631578947368421e-05,1.1052631578947368e-05,2.526315789473684e-06,0.027777777777777776,-0.730668140724755
1 Solar & 15 SOFC & 3 Diesel & 3 Battery,0.1913440090608072,0.8991773088002126,6.97668927906407e-05,1.1627815465106782e-05,2.6577863920244072e-06,0.027777777777777776,-0.7306684402379143
0 Solar & 15 SOFC & 3 Diesel & 4 Battery,0.19227589195247313,0.9045831814576498,7.018633279923535e-05,1.169772213320589e-05,2.673765059018489e-06,0.0,-0.7307380679247333
